DateMonth,predicted_mean
2014-01-01,8221178.761359821
2014-02-01,7879618.281796576
2014-03-01,8970607.084727308
2014-04-01,6647323.196941184
2014-05-01,8473195.90507958
2014-06-01,8763875.840229455
2014-07-01,7594888.6048211055
2014-08-01,8868281.994266327
2014-09-01,7933688.268474006
2014-10-01,6985598.437124568
2014-11-01,8463417.703075511
2014-12-01,8616456.92026654
2015-01-01,7697507.967577045
2015-02-01,8492928.783709949
2015-03-01,7127984.9289031485
2015-04-01,6810152.327987777
2015-05-01,9241749.814660572
2015-06-01,8054058.83398655
2015-07-01,8170363.758815935
2015-08-01,8591141.60194607
2015-09-01,6868853.424401994
2015-10-01,7518043.968958896
2015-11-01,9115866.125259006
2015-12-01,7638130.396269541
2016-01-01,8441417.608575799
2016-02-01,8374270.637550436
2016-03-01,6771115.543645923
2016-04-01,8158948.582395356
2016-05-01,8744062.49163351
2016-06-01,7456791.933482982
2016-07-01,8736233.500084413
